$0;1690401045692633808;1.15-SNAPSHOT;KIEKER;203b795dd534;1;false;0;NANOSECONDS;0
$1;1690401060275453511;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060272040849;1690401060275447930;203b795dd534;119;3
$1;1690401060275659422;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060275543342;1690401060275634685;203b795dd534;125;5
$1;1690401060275692595;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060275503075;1690401060275687956;203b795dd534;124;4
$1;1690401060279395107;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060277982184;1690401060279376211;203b795dd534;126;4
$1;1690401060279470230;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060275470082;1690401060279464179;203b795dd534;123;3
$1;1690401060279696049;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060279560562;1690401060279689597;203b795dd534;129;5
$1;1690401060279727188;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060279542577;1690401060279723421;203b795dd534;128;4
$1;1690401060283155540;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060281797140;1690401060283129961;203b795dd534;130;4
$1;1690401060283217938;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060279490178;1690401060283212257;203b795dd534;127;3
$1;1690401060283253095;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getProductImages(java.util.HashMap);<no-session-id>;6550907870475452418;1690401060198130017;1690401060283249799;203b795dd534;50;2
$1;1690401060309000138;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452418;1690401060308975631;1690401060308981312;203b795dd534;135;5
$1;1690401060309088756;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452418;1690401060309083195;1690401060309083927;203b795dd534;136;5
$1;1690401060309110327;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060308808934;1690401060309106950;203b795dd534;134;4
$1;1690401060309158037;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060308760202;1690401060309154641;203b795dd534;133;3
